,accuracy,precision,f1,auc,TPR,FPR,run_time
RF,1.0,1.0,1.0,1.0,1.0,0.0,19.634328365325928
XGB,1.0,1.0,1.0,1.0,1.0,0.0,0.3386712074279785
GNB,0.8893040564940016,0.8264266790024812,0.8990287620032299,0.8893040564940016,0.9856156963447418,0.20700758335673874,0.09713554382324219
SVC,0.9937958913453436,0.9940982224408066,0.9937939926651717,0.9937958913453437,0.9934899490430527,0.005898166352365285,270.05676007270813
