,accuracy,precision,f1,auc,TPR,FPR,run_time
RF,1.0,1.0,1.0,1.0,1.0,0.0,6.445943832397461
XGB,1.0,1.0,1.0,1.0,1.0,0.0,0.22814536094665527
GNB,0.7696728932465556,0.9786940343296123,0.7053353229957395,0.7696692024573785,0.5513405686851269,0.01200216377036987,0.02354264259338379
SVC,0.9677288479418477,0.9843498354456971,0.9671648979170607,0.9677285578757764,0.95056969942861,0.015112583677057272,48.719125270843506
